id,title_ko,title_en,event_type_ko,event_type_en,date_start,date_end,location_ko,location_en,scale,comment_ko,comment_en,main_image,sub_images,region,display_order,created_at,updated_at,is_international,is_pinned
306,2022 상용표준물질 개발-보급사업 기술 세미나,2022 Certified Reference Materials Development & Distribution Technical Seminar,세미나,Seminar,2022-06-16,2022-06-16,킨텍스,"KINTEX, Goyang",중규모,표준물질 기술 전문가들이 한자리에 모인 산업 세미나,Industry seminar bringing together experts in certified reference materials technology,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591956817-nbnngje4ni.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591964925-zko0oztsuf.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591989657-ca8iy72o2je.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592001044-1uhmgyy26nw.jpg""]",KR,1,2026-03-24 06:16:33.152+00,2026-03-27 06:13:24.427+00,false,false
307,김영춘 출판기념 사진전,Kim Young-chun Publication Commemorative Photo Exhibition,기타,Other,2022-02-14,2022-02-14,센터마크호텔,"Center Mark Hotel, Seoul",소규모,출판기념을 축하하는 사진전 스태프 명찰 발급 진행,Staff badge issuance for a commemorative photo exhibition,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592296006-qg98j4ebig.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592341382-3vqkcomx49q.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592371177-ku8cpbt0cn.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592384297-li00soqke49.jpg""]",KR,2,2026-03-24 06:16:33.152+00,2026-03-27 06:19:48.369+00,false,false
308,2022 글로벌 푸드 트렌드&테크 컨퍼런스,2022 Global Food Trend & Tech Conference,컨퍼런스,Conference,2022-06-07,2022-06-07,킨텍스,"KINTEX, Goyang",중규모,국내외 푸드테크 산업 리더들이 모인 글로벌 컨퍼런스,Global conference gathering food-tech industry leaders from Korea and abroad,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592111197-f96fsj3nner.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592131241-o7vp7o3d3a.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592178931-qbg9tfuo43c.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592196621-y72ggmk5bi.jpg""]",KR,3,2026-03-24 06:16:33.152+00,2026-03-27 06:16:41.836+00,true,false
309,CCC (Creators Community Club),CCC (Creators Community Club),기타,Other,2022-07-28,2022-07-28,성수 데어바타테,"Daearbatate, Seongsu, Seoul",소규모,크리에이터 커뮤니티 팝업 행사 명찰 발급 진행,Badge issuance for a creators community pop-up event,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591519145-1xlpq0iwqx7.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591610454-iu1617vvga.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591622653-zeey1kp72g.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591668094-h70narimc98.jpg""]",KR,4,2026-03-24 06:16:33.152+00,2026-03-27 06:07:51.309+00,false,false
310,2022 국제ESG협회 ESG포럼,2022 International ESG Association ESG Forum,포럼,Forum,2022-08-29,2022-08-29,대한상공회의소,"Korea Chamber of Commerce & Industry, Seoul",중규모,ESG 경영 확산을 위한 국제 포럼,International forum for the advancement of ESG management practices,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591290425-pgpno38dtpd.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591303664-miv5jlaatxn.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591341082-c56qqscyptk.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591359932-p89lq0rgccj.jpg""]",KR,5,2026-03-24 06:16:33.152+00,2026-03-27 06:02:43.264+00,true,false
311,2022 스마트 국토엑스포,2022 Smart Land Expo,박람회,Expo,2022-11-02,2022-11-04,킨텍스,"KINTEX, Goyang",대규모,국토 스마트화 기술을 한눈에 볼 수 있는 대형 엑스포,Large-scale expo showcasing smart land and infrastructure technologies,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591110021-d4a0x6tyqvi.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591123135-2zyxqfxb2i.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591170901-7j7mcqwli6m.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774591228919-fsnfsp6jaec.jpg""]",KR,6,2026-03-24 06:16:33.152+00,2026-03-27 06:00:32.019+00,false,false
312,세계경제연구원 우리금융그룹 국제컨퍼런스,Institute for Global Economics & Woori Financial Group International Conference,컨퍼런스,Conference,2022-11-03,2022-11-03,신라호텔,"Shilla Hotel, Seoul",중규모,글로벌 경제 현안을 논의하는 국제 금융 컨퍼런스,International finance conference addressing global economic issues,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592787459-4xo1tkhklxu.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592975960-nrmm0ql3cl.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774592985108-wqf5li4v7r.jpg""]",KR,7,2026-03-24 06:16:33.152+00,2026-03-27 06:30:41.465+00,true,false
313,KME 2022,KME 2022,컨퍼런스,Conference,2022-11-09,2022-11-11,송도컨벤시아,"Songdo Convensia, Incheon",대규모,국내 최대 마케팅 엑스포 전시사 및 참가자 명찰 발급,Badge issuance for exhibitors and attendees at Korea's leading marketing expo,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590885917-hoxrfymee8l.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590895834-aujev1d6pov.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590904296-hs6e0yx3nbj.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590936211-rumejwzm2y.jpg""]",KR,8,2026-03-24 06:16:33.152+00,2026-03-27 05:55:54.819+00,false,false
314,한-스페인 비즈니스 포럼,Korea-Spain Business Forum,포럼,Forum,2022-11-18,2022-11-18,포시즌스 호텔,"Four Seasons Hotel, Seoul",소규모,한국과 스페인 간 비즈니스 협력을 위한 양자 포럼,Bilateral forum fostering business cooperation between Korea and Spain,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590444032-mgpbrhz6wyg.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590397051-ghslzhd4smi.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774590451748-b126vsa7exc.jpg""]",KR,9,2026-03-24 06:16:33.152+00,2026-03-27 05:47:36.858+00,true,false
315,2022 EVENT AWARD & SYMPOSIUM,2022 Event Award & Symposium,,,2022-11-23,2022-11-23,중소기업DMC타워 DMC홀,"DMC Tower, Seoul",중규모,이벤트 산업 우수 사례를 시상하는 어워드 심포지엄,Award symposium recognizing excellence in the events industry,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589691337-pjpiy4gnp1j.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589654809-zrez0200jc7.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589676003-f79evgn6179.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589709017-as82ztxphsh.jpg""]",KR,10,2026-03-24 06:16:33.152+00,2026-03-27 05:35:12.784+00,false,false
